"Content-Type: text/plain; charset=utf-8
";OPUIC;Stop name;Station abbreviation;LOCALITYNAME;MUNICIPALITY NAME;BFS Nummer Gemeinde;DISTRICT NAME;BFS Nummer Bezirk;CANTON NAME;CANTON ABBREVIATION;CANTON NO.;COUNTRY_ISO2_GEO;OP_TYPE_DESIGNATION_DE;OP_OPERATING_POINT_TYPE_ID;OPOF_TYPE_DESIGNATION_DE;OPOF_OPERATING_POINT_TYPE_ID;OPTF_TYPE_DESIGNATION_DE;Osten LV 95 Format;N_LV95;Z_LV95;Osten LV 03 Format;N_LV03;Z_LV03;Osten WGS84 Format;N_WGS84;Z_WGS84;Verkehrsmitteltext;BO_IDENTIFICATION;tc-number;BO_ABBREVIATION_DE;BO_DESIGNATION_DE;lod;Geopos;IS_STOP;IS_BEDIENPUNKT;IS_VERKEHRSPUNKT
7272;8507272;Saanenmöser;SAMO;Saanenmöser;Saanen;843;Obersimmental-Saanen;248;Bern;BE;2;CH;;;;;;2590260.086;1151819.876;1271.2;590260.086;151819.876;1271.2;7.31172000155;46.51760999702;1271.2;Zug;100045;64;MOB;Montreux-Oberland Bernois;http://lod.opentransportdata.swiss/didok/8507272;46.51760999700833,7.311720001549048;1;0;1
5398;8505398;Ponte Tresa;POTR;Ponte Tresa;Tresa;5239;Lugano;2105;Ticino;TI;21;CH;;;;;;2710210.089;1091933.421;275.6;710210.089;91933.421;275.6;8.8604800058;45.9699899954;275.6;Zug;100028;47;FLP;Lugano-Ponte Tresa;http://lod.opentransportdata.swiss/didok/8505398;45.96998999537858,8.860480005797148;1;0;1
275;8500275;Bei den Weihern;BDWE;Riedholz;Riedholz;2554;Lebern;1107;Solothurn;SO;11;CH;;;;;;2609690.951;1230837.111;471.1;609690.951;230837.111;471.1;7.56659000007;47.22838999585;471.1;Zug;100060;81;ASM-snb;Aare Seeland mobil (snb);http://lod.opentransportdata.swiss/didok/8500275;47.22838999583517,7.5665900000707325;1;0;1
285;8500285;Flumenthal;FLUM;Flumenthal;Flumenthal;2545;Lebern;1107;Solothurn;SO;11;CH;;;;;;2611967.347;1232038.62;463.5;611967.347;232038.62;463.5;7.5966800031;47.23915999538;463.5;Zug;100060;81;ASM-snb;Aare Seeland mobil (snb);http://lod.opentransportdata.swiss/didok/8500285;47.239159995367814,7.596680003098039;1;1;1
8159;8508159;Niederbipp Dorf;NBD;Niederbipp;Niederbipp;981;Oberaargau;244;Bern;BE;2;CH;;;;;;2619412.803;1235022.233;461.9;619412.803;235022.233;461.9;7.69514000126;47.26581999845;461.9;Zug;100037;56;ASM-rvo;Aare Seeland mobil (rvo);http://lod.opentransportdata.swiss/didok/8508159;47.26581999843747,7.695140001258783;1;0;1
4472;8504472;Sutz;SUTZ;Sutz;Sutz-Lattrigen;750;Biel/Bienne;242;Bern;BE;2;CH;;;;;;2583359.335;1216786.836;448.9;583359.335;216786.836;448.9;7.21941999365;47.10186999635;448.9;Zug;100020;38;ASM-bti;Aare Seeland mobil (bti);http://lod.opentransportdata.swiss/didok/8504472;47.101869996335196,7.219419993654554;1;0;1
8271;8508271;Grünenmatt;GRMA;Grünenmatt;Lützelflüh;955;Emmental;245;Bern;BE;2;CH;;;;;;2621693.44;1206411.273;623.8;621693.44;206411.273;623.8;7.72390423295;47.00840034002;623.8;Zug;100026;45;BLS-ebt;BLS AG (ebt);http://lod.opentransportdata.swiss/didok/8508271;47.00840034001096,7.723904232951941;1;1;1
7064;8507064;Vechigen;VECH;Boll;Vechigen;359;Bern-Mittelland;246;Bern;BE;2;CH;;;;;;2608966.0;1199490.0;581.7;608966.0;199490.0;581.7;7.55640080867;46.9464356381;581.7;Zug;100066;88;RBS;Regionalverkehr Bern-Solothurn;http://lod.opentransportdata.swiss/didok/8507064;46.94643563808391,7.55640080866661;1;0;1
7291;8507291;Weissenbach;WBA;Boltigen;Boltigen;791;Obersimmental-Saanen;248;Bern;BE;2;CH;;;;;;2595070.144;1161369.275;842.8;595070.144;161369.275;842.8;7.37429580948;46.60356559483;842.8;Zug;100056;76;BLS-sez;BLS AG (sez);http://lod.opentransportdata.swiss/didok/8507291;46.603565594818335,7.374295809479724;1;1;1
4183;8504183;Pensier;PEN;Pensier;Courtepin;2254;See;1005;Fribourg;FR;10;CH;;;;;;2576860.586;1187874.982;551.1;576860.586;187874.982;551.1;7.13529000092;46.8416099987;551.1;Zug;100034;53;TPF;Transports publics fribourgeois;http://lod.opentransportdata.swiss/didok/8504183;46.84160999868182,7.135290000920451;1;1;1
8070;8508070;Oberzollikofen;OBZO;Zollikofen;Zollikofen;361;Bern-Mittelland;246;Bern;BE;2;CH;;;;;;2601749.279;1205099.35;557.6;601749.279;205099.35;557.6;7.46162999571;46.99694999429;557.6;Zug;100066;88;RBS;Regionalverkehr Bern-Solothurn;http://lod.opentransportdata.swiss/didok/8508070;46.99694999427925,7.461629995706539;1;0;1
5491;8505491;Tegna;TEGN;Tegna;Terre di Pedemonte;5396;Locarno;2104;Ticino;TI;21;CH;;;;;;2700676.97;1115785.573;254.6;700676.97;115785.573;254.6;8.74263000367;46.18600999689;254.6;Zug;100030;49;FART;Ferrovie Autolinee Regionali Ticinesi;http://lod.opentransportdata.swiss/didok/8505491;46.186009996876386,8.74263000367363;1;0;1
