Line,KM,Station abbreviation,Stop name,Didok number,OPUIC
920,13.543,CH,Chur,9000,8509000
900,5.663,BRAG,Bad Ragaz,9004,8509004
900,25.767,CH,Chur,9000,8509000
900,12.398,LQ,Landquart,9002,8509002
900,7.755,MF,Maienfeld,9003,8509003
890,0.365,SA,Sargans,9411,8509411
890,17.851,UNT,Unterterzen,9416,8509416
890,13.654,WAL,Walenstadt,9414,8509414
890,33.533,ZB,Ziegelbrucke,3225,8503225
890,24.721,MH,Muhlehorn,9418,8509418
882,18.476,BU,Buchs SG,9404,8509404
880,41.335,ALT,Altstatten SG,6319,8506319
880,15.881,BU,Buchs SG,9404,8509404
880,68.063,GOL,Goldach,6305,8506305
880,47.91,HEBG,Heerbrugg,6317,8506317
880,35.2,ORT,Oberriet SG,9400,8509400
880,44.233,REB,Rebstein-Marbach,6318,8506318
880,57.805,RCK,Rheineck,6313,8506313
880,64.98,RS,Rorschach,6311,8506311
880,24.679,SAS,Salez-Sennwald,9402,8509402
880,0.196,SA,Sargans,9411,8509411
880,10.87,SEV,Sevelen,9406,8509406
880,80.482,SG,St. Gallen,6302,8506302
880,53.819,SMG,St. Margrethen SG,6314,8506314
880,50.983,AUSG,Au SG,6316,8506316
880,30.293,RTH,Ruthi SG,9401,8509401
880,66.261,RSST,Rorschach Stadt,6322,8506322
853,6.946,BAZ,Bazenheid,6205,8506205
853,12.906,BUET,Butschwil,6203,8506203
853,14.703,DTF,Dietfurt,6202,8506202
853,34.328,UZ,Uznach,3116,8503116
853,31.013,KAB,Kaltbrunn,3117,8503117
853,10.006,LUET,Lutisburg,6204,8506204
852,0.065,SLG,Sulgen,6217,8506217
852,10.016,BZS,Bischofszell Stadt,6213,8506213
852,8.143,SIT,Sitterdorf,6214,8506214
852,14.37,HPT,Hauptwil,6212,8506212
850,122.924,AD,Aadorf,6013,8506013
850,126.074,EL,Elgg,6014,8506014
850,90.258,GSS,Gossau SG,6210,8506210
850,130.628,SCHK,Schottikon,6035,8506035
850,113.7,SIR,Sirnach,6010,8506010
850,80.552,SG,St. Gallen,6302,8506302
850,86.481,SGWI,St. Gallen Winkeln,6300,8506300
850,101.075,UZW,Uzwil,6208,8506208
850,110.372,WIL,Wil SG,6206,8506206
850,135.37,WGR,Winterthur Gruze,6001,8506001
850,133.802,WHE,Winterthur Hegi,16218,8516218
850,95.608,FLA,Flawil,6209,8506209
850,131.877,RAET,Raterschen,6015,8506015
850,83.972,SGBR,St. Gallen Bruggen,6301,8506301
850,117.431,ESL,Eschlikon TG,6011,8506011
843,42.091,FF,Frauenfeld,6100,8506100
840,75.346,AW,Amriswil,6109,8506109
840,46.343,FEL,Felben-Wellhausen,6101,8506101
840,41.928,FF,Frauenfeld,6100,8506100
840,48.725,HM,Huttlingen-Mettendorf,6102,8506102
840,37.942,ISL,Islikon,6019,8506019
840,55.592,MAER,Marstetten,6104,8506104
840,29.731,OWT,Oberwinterthur,6016,8506016
840,82.132,RH,Romanshorn,6121,8506121
840,66.189,SLG,Sulgen,6217,8506217
840,59.48,WF,Weinfelden,6105,8506105
840,33.466,RIK,Rickenbach-Attikon,6018,8506018
840,31.782,WD,Wiesendangen,6017,8506017
840,63.162,BGL,Burglen TG,6106,8506106
840,69.719,ERL,Erlen,6107,8506107
831,24.331,KHF,Kehlhof,6193,8506193
831,33.501,LENG,Lengwil,6196,8506196
831,38.663,TAEM,Tagerwilen Dorf,6198,8506198
831,36.361,KRB,Kreuzlingen Bernrain,6197,8506197
831,19.182,WF,Weinfelden,6105,8506105
831,27.299,BERG,Berg,6194,8506194
831,30.825,SHAU,Siegershausen,6195,8506195
830,5.448,BTW,Bettwiesen,6182,8506182
830,16.346,BNG,Bussnang,6190,8506190
830,11.143,MAE,Marwil,6184,8506184
830,8.257,TOA,Tobel-Affeltrangen,6183,8506183
830,18.877,WF,Weinfelden,6105,8506105
830,0.042,WIL,Wil SG,6206,8506206
825,93.519,HN,Horn,6307,8506307
825,97.232,RS,Rorschach,6311,8506311
825,96.429,RSHF,Rorschach Hafen,6306,8506306
825,90.228,ARB,Arbon,6308,8506308
824,92.828,ALN,Altnau,6125,8506125
824,98.879,KURZ,Kurzrickenbach Seepark,6119,8506119
824,94.613,LDS,Landschlacht,88122,8588122
824,82.152,RH,Romanshorn,6121,8506121
824,97.547,BOT,Bottighofen,6127,8506127
824,88.1,KWL,Kesswil,6123,8506123
824,100.056,KRH,Kreuzlingen Hafen,6128,8506128
824,90.405,GUET,Guttingen,6124,8506124
824,96.146,MSCH,Munsterlingen-Scherzingen,6126,8506126
824,86.16,UTW,Uttwil,6122,8506122
823,60.73,KR,Kreuzlingen,6131,8506131
823,61.764,KRH,Kreuzlingen Hafen,6128,8506128
822,51.333,MANN,Mannenbach-Salenstein,6134,8506134
822,60.665,KR,Kreuzlingen,6131,8506131
822,39.832,MAM,Mammern,6137,8506137
822,45.609,STK,Steckborn,6136,8506136
822,34.814,STR,Stein am Rhein,6139,8506139
822,57.831,TAEG,Tagerwilen-Gottlieben,6132,8506132
822,53.982,ERM,Ermatingen,6133,8506133
822,36.95,EZ,Eschenz,6138,8506138
822,56.003,TRIB,Triboltingen,6118,8506118
821,6.354,REUT,Reutlingen,6036,8506036
821,7.47,SEU,Seuzach,6020,8506020
821,26.993,STM,Stammheim,6024,8506024
821,9.856,DIH,Dinhard,6021,8506021
821,11.744,TLH,Thalheim-Altikon,6022,8506022
821,4.584,WWAL,Winterthur Wallruti,6038,8506038
820,38.214,DSH,Diessenhofen,3428,8503428
820,48.66,SH,Schaffhausen,3424,8503424
820,35.561,SCHN,Schlattingen,3429,8503429
820,46.873,FT,Feuerthalen,3425,8503425
820,39.769,STKT,St. Katharinental,6148,8506148
820,45.362,LAN,Langwiesen,3426,8503426
820,43.265,SCHT,Schlatt TG,3427,8503427
770,16.429,BUE,Bulach,3400,8503400
770,22.349,EGL,Eglisau,3402,8503402
770,19.395,GF,Glattfelden,3401,8503401
770,23.789,HUEW,Huntwangen-Wil,3403,8503403
770,34.417,JE,Jestetten,3421,8503421
770,40.082,NH,Neuhausen,3423,8503423
770,30.055,LOT,Lottstetten,3420,8503420
770,38.995,NHRH,Neuhausen Rheinfall,18924,8518924
770,27.077,RZ,Rafz,3404,8503404
769,16.179,BUE,Bulach,3400,8503400
764,364.538,SH,Schaffhausen,3424,8503424
763,364.266,SH,Schaffhausen,3424,8503424
762,39.064,AN,Andelfingen,6047,8506047
762,51.313,DA,Dachsen,6049,8506049
762,35.127,HGT,Henggart,6046,8506046
762,32.623,HET,Hettlingen,6045,8506045
762,46.048,MTL,Marthalen,6048,8506048
762,56.185,SH,Schaffhausen,3424,8503424
762,52.39,SLF,Schloss Laufen am Rheinfall,6039,8506039
762,53.966,NH,Neuhausen,3423,8503423
761,17.209,DI,Dielsdorf,3315,8503315
761,25.318,NW,Niederweningen,3319,8503319
761,13.209,OGL,Oberglatt ZH,3312,8503312
761,21.573,SCHO,Schofflisdorf-Oberweningen,3317,8503317
761,18.9,STMR,Steinmaur,3316,8503316
761,15.125,NIE,Niederhasli,3314,8503314
761,24.238,NWD,Niederweningen Dorf,3318,8503318
760,20.088,BUE,Bulach,3400,8503400
760,15.155,NG,Niederglatt ZH,3313,8503313
760,13.041,OGL,Oberglatt ZH,3312,8503312
760,10.38,RUEM,Rumlang,3311,8503311
760,0.356,ZHDB,Zurich Hardbrucke,3020,8503020
760,4.644,ZOER,Zurich Oerlikon,3006,8503006
760,7.15,GLB,Glattbrugg,3310,8503310
757,11.321,KL,Kloten,3308,8503308
754,32.468,FI,Fischenthal,3136,8503136
754,8.576,KOL,Kollbrunn,6004,8506004
754,11.434,RN,Rikon,6005,8506005
754,7.299,SKY,Sennhof-Kyburg,6003,8506003
754,44.568,TD,Tann-Durnten,3139,8503139
754,18.03,WILA,Wila,6008,8506008
754,4.525,WSEE,Winterthur Seen,6002,8506002
754,21.301,SD,Saland,6009,8506009
754,29.767,STG,Steg,3135,8503135
754,39.69,WL,Wald ZH,3138,8503138
754,2.578,WGR,Winterthur Gruze,6001,8506001
754,25.117,BMA,Bauma,3134,8503134
754,34.725,GIB,Gibswil,3137,8503137
754,15.842,TU,Turbenthal,6007,8506007
753,0.063,EF,Effretikon,3305,8503305
753,7.946,FET,Fehraltorf,3302,8503302
753,4.432,IL,Illnau,3303,8503303
753,15.869,KN,Kempten,3300,8503300
753,18.022,WZ,Wetzikon ZH,3123,8503123
753,11.279,PFZ,Pfaffikon ZH,3301,8503301
752,14.914,BSD,Bassersdorf,3307,8503307
752,9.969,KL,Kloten,3308,8503308
752,8.88,KLB,Kloten Balsberg,3309,8503309
752,7.179,OP,Opfikon,3340,8503340
751,11.189,DTL,Dietlikon,3306,8503306
751,16.719,EF,Effretikon,3305,8503305
751,20.61,KE,Kemptthal,3304,8503304
751,8.356,WS,Wallisellen,3129,8503129
751,26.088,W,Winterthur,6000,8506000
751,4.815,ZOER,Zurich Oerlikon,3006,8503006
751,2.226,ZWIP,Zurich Wipkingen,3015,8503015
750,7.164,OP,Opfikon,3340,8503340
750,9.468,ZFH,Zurich Flughafen,3016,8503016
748,200.671,ZLOE,Zurich HB Lowenstrasse,16144,8516144
748,206.643,ZOER,Zurich Oerlikon,3006,8503006
745,106.995,STET,Stettbach,3147,8503147
745,99.977,ZMUS,Zurich HB Museumstrasse,15163,8515163
745,101.632,ZSTH,Zurich Stadelhofen,3003,8503003
742,14.021,HI,Hinwil,3130,8503130
742,25.186,BMA,Bauma,3134,8503134
740,77.397,AAT,Aathal,3124,8503124
740,68.463,BUB,Bubikon,3122,8503122
740,90.444,DUE,Dubendorf,3128,8503128
740,61.114,JO,Jona,3120,8503120
740,84.763,NAEN,Nanikon-Greifensee,3126,8503126
740,59.423,RW,Rapperswil SG,3110,8503110
740,65.978,RUE,Ruti ZH,3121,8503121
740,87.445,SCWE,Schwerzenbach ZH,3127,8503127
740,81.377,UST,Uster,3125,8503125
740,74.642,WZ,Wetzikon ZH,3123,8503123
736,77.187,LGB,Leuggelbach,3235,8503235
736,84.565,LIN,Linthal,3239,8503239
736,72.228,MIT,Mitlodi,3232,8503232
736,61.618,NAEF,Nafels-Mollis,3227,8503227
736,81.312,DSB,Diesbach-Betschwanden,3237,8503237
736,69.45,EDA,Ennenda,3231,8503231
736,68.544,GL,Glarus,3230,8503230
